Q31	ベルギー
Q155	ブラジル
Q39	スイス
Q148	中華人民共和国
Q183	ドイツ
Q1005	ガンビア
Q252	インドネシア
Q233	マルタ
Q45	ポルトガル
Q225	ボスニア・ヘルツェゴビナ
Q398	バーレーン
Q921	ブルネイ
Q1008	コートジボワール
Q298	チリ
Q686	バヌアツ
Q878	アラブ首長国連邦
Q916	アンゴラ
Q801	イスラエル
Q189	アイスランド
Q819	ラオス
Q1028	モロッコ
Q912	マリ共和国
Q17070	レユニオン
Q1049	スーダン
Q1044	シエラレオネ
Q18221	タークス・カイコス諸島
Q869	タイ王国
Q863	タジキスタン
Q902	バングラデシュ
Q769	グレナダ
Q710	キリバス
Q13353	モントセラト
Q1183	プエルトリコ
Q685	ソロモン諸島
Q40	オーストリア
Q784	ドミニカ国
Q3769	フランス領ギアナ
Q1410	ジブラルタル
Q28	ハンガリー
Q235	モナコ
Q236	モンテネグロ
Q664	ニュージーランド
Q215	スロベニア
Q948	チュニジア
Q962	ベナン
Q1011	カーボベルデ
Q191	エストニア
Q33	フィンランド
Q41	ギリシャ
Q221	北マケドニア
Q1025	モーリタニア
Q1032	ニジェール
Q804	パナマ
Q1045	ソマリア
Q1039	サントメ・プリンシペ
Q678	トンガ
Q46197	アセンション島
Q23635	バミューダ
Q800	コスタリカ
Q223	グリーンランド
Q822	レバノン
Q1014	リベリア
Q32	ルクセンブルク
Q697	ナウル
Q30971	フランス領ポリネシア
Q159	ロシア
Q192184	セントヘレナ・アセンションおよびトリスタンダクーニャ
Q25227	オランダ領アンティル
Q21590062	南極条約エリア
Q25362	サン・バルテルミー島
Q16	カナダ
Q262	アルジェリア
Q423	朝鮮民主主義人民共和国
Q884	大韓民国
Q709	マーシャル諸島
Q711	モンゴル国
Q20	ノルウェー
Q129237	太平洋諸島信託統治領
Q691	パプアニューギニア
Q334	シンガポール
Q958	南スーダン
Q945	トーゴ
Q43	トルコ
Q16645	合衆国領有小離島
Q237	バチカン
Q717	ベネズエラ
Q11703	アメリカ領ヴァージン諸島
Q222	アルバニア
Q967	ブルンジ
Q917	ブータン
Q142	フランス
Q114	ケニア
Q31057	ノーフォーク島
Q219060	パレスチナ国
Q757	セントビンセント・グレナディーン
Q258	南アフリカ共和国
Q219	ブルガリア
Q31063	クリスマス島
Q760	セントルシア
Q218	ルーマニア
Q858	シリア
Q672	ツバル
Q414	アルゼンチン
Q36004	ココス諸島
Q739	コロンビア
Q213	チェコ共和国
Q230	ジョージア
Q25230	ガーンジー
Q43448	イギリス領インド洋地域
Q419	ペルー
Q35672	ピトケアン諸島
Q851	サウジアラビア
Q220982	トリスタンダクーニャ
Q781	アンティグア・バーブーダ
Q25228	アンギラ
Q778	バハマ
Q702	ミクロネシア連邦
Q763	セントクリストファー・ネイビス
Q37	リトアニア
Q1030	ナミビア
Q34	スウェーデン
Q1050	エスワティニ
Q750	ボリビア
Q974	コンゴ民主共和国
Q29	スペイン
Q17012	グアドループ
Q1037	ルワンダ
Q242	ベリーズ
Q14773	マカオ
Q846	カタール
Q36823	トケラウ
